Frame,Pelvis_x,Pelvis_y,Pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_z,Right_Upper_Arm_x,Right_Upper_Arm_y,Right_Upper_Arm_z,Right_Forearm_x,Right_Forearm_y,Right_Forearm_z,Right_Hand_x,Right_Hand_y,Right_Hand_z,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_z,Left_Upper_Arm_x,Left_Upper_Arm_y,Left_Upper_Arm_z,Left_Forearm_x,Left_Forearm_y,Left_Forearm_z,Left_Hand_x,Left_Hand_y,Left_Hand_z,Right_Upper_Leg_x,Right_Upper_Leg_y,Right_Upper_Leg_z,Right_Lower_Leg_x,Right_Lower_Leg_y,Right_Lower_Leg_z,Right_Foot_x,Right_Foot_y,Right_Foot_z,Right_Toe_x,Right_Toe_y,Right_Toe_z,Left_Upper_Leg_x,Left_Upper_Leg_y,Left_Upper_Leg_z,Left_Lower_Leg_x,Left_Lower_Leg_y,Left_Lower_Leg_z,Left_Foot_x,Left_Foot_y,Left_Foot_z,Left_Toe_x,Left_Toe_y,Left_Toe_z
10,0,0,0,0.0655367829105834,-0.157779671721803,0.165556616611221,0.0574377737380787,-0.17480103238038,0.164332942696059,0.0573392375184328,-0.183899803900906,0.163037489420304,-0.0463364022042681,-0.120276507370986,-0.0156280775221408,0.0209203474824888,-0.203903745780985,0.159133765391487,-0.109424241615668,-0.155653114788098,-0.0437279719814163,-0.0239814468799506,-0.065780795297221,-0.0545196073909589,-0.179995927346069,0.10929909968449,0.0145529311552686,-0.684406415752393,0.270332854342428,0.587494974488473,-0.510903637766226,-0.0715793112243728,0.713944444783643,0.00899641749113497,-0.190851640337336,-0.055489867138222,0.00345017350748886,-0.361245346708431,-0.0490817074639285,-0.0711444394832761,-0.278977487603336,0.0598648633057316,-0.232026810735408,-0.21367511133175,-0.00790750587912253,-0.118414117989133,0.0810412070326705,-0.03806272019225,-0.0485710603288161,0.00306249297996253,-0.0635705799519606,0.000642123216939322,-0.0824377564670793,-0.0445377379242089,0.000642123216939322,-0.0824377564670793,-0.0445377379242089,0.0863333479850255,-0.154507389447536,-0.0493797541505923,0.0052612047454869,-0.0992816185984628,-0.0392792800679793,-0.0343973776982139,-0.048618320975635,-0.0494835064057087,-0.0343973776982139,-0.048618320975635,-0.0494835064057087
11,0,0,0,0.0689769230582129,-0.158619068859503,0.17035071536497,0.0644048000761757,-0.178888040266351,0.169118247425303,0.0685068617167493,-0.191743942256998,0.167404280144645,-0.0528377188966519,-0.113916706044557,-0.0244086215678289,0.0459016062168894,-0.224771058172682,0.163712132383857,-0.106218665288083,-0.148595114945497,-0.0392899021493399,-0.0186275250159419,-0.067935992379425,-0.0488205438833199,-0.182877328656835,0.109534687035155,0.0190409324417754,-0.720493520413472,0.197042246843483,0.522709870017601,-0.527474993982937,-0.137598587259812,0.618221221247959,0.0151191120183193,-0.196938126169504,-0.0501963143556777,0.0181524241176456,-0.363830032360932,-0.0402309607926387,-0.0475790931920131,-0.281285632765122,0.0709172125742992,-0.200091857115169,-0.211996436137838,-0.0072233735573988,-0.0829853629050328,0.0911601593274129,-0.0343091911039673,-0.0513755487921109,0.00290480657359349,-0.0594143658955477,0.00131779846605081,-0.0809441790364185,-0.0376604902312532,0.00131779846605081,-0.0809441790364185,-0.0376604902312532,0.0813189584349432,-0.160731364648624,-0.0448942541702849,0.00856674620810537,-0.0986827537751382,-0.0324253613781613,-0.0285272731911414,-0.0457588986755815,-0.0439123903927717,-0.0285272731911414,-0.0457588986755815,-0.0439123903927717
12,0,0,0,0.0718490050389657,-0.157622680314344,0.171950228206868,0.0701188425331173,-0.179472791296438,0.170757537914948,0.0773467183984961,-0.194230914468144,0.168857953900999,-0.0558002293831768,-0.106759940262792,-0.031225464746844,0.0649701541427809,-0.234543634168565,0.165435739449225,-0.10162885484146,-0.140491450272532,-0.0385774543695315,-0.0147845243759401,-0.0706508001125605,-0.043967765395563,-0.18598720761998,0.105554536485064,0.0206140766527592,-0.734415617914432,0.132803675565522,0.469758370678809,-0.549909496803469,-0.190519078012649,0.531554727793223,0.0177483299893853,-0.19536331089362,-0.0470272622268512,0.029058293263069,-0.357231352852035,-0.0352203131509886,-0.0354246303513697,-0.283227805041071,0.0754759550665466,-0.171891356329132,-0.214297336286718,-0.00502327981466152,-0.0588822822353926,0.0974274476862948,-0.0330761124753081,-0.0516729672653567,0.000802483889026179,-0.057823408463308,0.00193104410566883,-0.0797259420387679,-0.0347053078826643,0.00193104410566883,-0.0797259420387679,-0.0347053078826643,0.0797023667357729,-0.16538337411967,-0.0426129404166296,0.0113861692554007,-0.0996215177261321,-0.0288628013439856,-0.0247803779946551,-0.0438159332736482,-0.0420906252785844,-0.0247803779946551,-0.0438159332736482,-0.0420906252785844
13,0,0,0,0.076809543486803,-0.153818023434806,0.166936635339959,0.0768630664529607,-0.173823776527172,0.165896329069806,0.0852605803204495,-0.186448070518789,0.164324728514889,-0.0481432391513708,-0.0982498155253209,-0.0326261672144896,0.0758916723504998,-0.22112360270889,0.161347662311174,-0.0900462085251023,-0.129906705236899,-0.0454324783320183,-0.0112463544921941,-0.0739598134515511,-0.0415818926643285,-0.186061369346466,0.0919211435395551,0.0143067182520086,-0.700574436357206,0.0924871123128798,0.440691502186546,-0.585185690568592,-0.206026590808108,0.456078522229461,0.0166301041217327,-0.177803642019268,-0.0479735301607699,0.0347358961130705,-0.334570951920818,-0.0383063359993391,-0.04358914201068,-0.285221340030174,0.0710279527294976,-0.151150129343012,-0.224354164853981,0.0015973240140765,-0.0567410341923278,0.0966585082725171,-0.0369702088342418,-0.046226297648042,-0.00478215868909784,-0.0614001545046186,0.00484177974334613,-0.0787966951083603,-0.0393502523104967,0.00484177974334613,-0.0787966951083603,-0.0393502523104967,0.0868048358667476,-0.166668497064087,-0.0450290070005913,0.0140599749121163,-0.103091325637524,-0.0321750116802469,-0.0234290705149316,-0.0438367571478017,-0.0472919331392329,-0.0234290705149316,-0.0438367571478017,-0.0472919331392329
14,0,0,0,0.0812020237677636,-0.148177580872409,0.158728456561199,0.0823543064916488,-0.164672504902022,0.157889105985064,0.0908466747258333,-0.173308060424489,0.156878386160791,-0.036947442713706,-0.0889427263325135,-0.0320631688154623,0.0809004797497095,-0.196608834853401,0.15440482524612,-0.077079328089706,-0.118276295370901,-0.0560131243467731,-0.00921910583245512,-0.0778284374414733,-0.0400423049529761,-0.186364008725331,0.074072012693291,0.00508450277573494,-0.644568247639862,0.0612225852812218,0.423458238826362,-0.626325030937535,-0.208435318320966,0.389659046746645,0.0120184016979617,-0.152582672036863,-0.0510442987484065,0.0366171174983387,-0.302727185828202,-0.0452324578773293,-0.06316453712061,-0.28684890213344,0.0600863436161284,-0.134143355191094,-0.238390568764036,0.00973388926382809,-0.0659254605637231,0.0920379049228788,-0.043384755652799,-0.0382725580406783,-0.0123114375454201,-0.0675421571701024,0.00769008577152996,-0.0781427886109631,-0.0479172620826959,0.00769008577152996,-0.0781427886109631,-0.0479172620826959,0.0973051028486342,-0.166381654278463,-0.0496492598112051,0.0162476621535088,-0.108098762323235,-0.0387785806721505,-0.0242009723457943,-0.0447740379200755,-0.0562425918986312,-0.0242009723457943,-0.0447740379200755,-0.0562425918986312
15,0,0,0,0.0812294631654092,-0.141290775738927,0.153761111850046,0.0825524305871986,-0.154896916594216,0.153038681438225,0.090329684841661,-0.16050352250367,0.152427851174325,-0.0331897940181764,-0.0804310011896763,-0.0315971359425427,0.0780834018069777,-0.175814962644415,0.150127034000651,-0.0729004127399106,-0.106784796588556,-0.0624799420218605,-0.0135063510624834,-0.0766876795291123,-0.0373175407090367,-0.190059690484787,0.0626924530082275,0.000177088105755091,-0.597321017207831,0.0222046347581548,0.413689490557216,-0.652961434105803,-0.22823454079705,0.335576237374213,0.00312834222046341,-0.133118961661634,-0.0521718850182959,0.0352187268658165,-0.273923718494952,-0.0498507931859308,-0.0779388694028061,-0.284176909520946,0.0459173079247677,-0.115612283727805,-0.247940530155152,0.0142662975496063,-0.0735865496701964,0.0871728396706993,-0.0477891548094244,-0.0330660060114356,-0.0164123667240375,-0.0714191920182273,0.00689572228786205,-0.0772040138934174,-0.0541594720058559,0.00689572228786205,-0.0772040138934174,-0.0541594720058559,0.104593163092821,-0.163646557321145,-0.0513724505706912,0.0185251238245964,-0.112284194526791,-0.0423031282531914,-0.0274601413820214,-0.0448048847535905,-0.0631277412754954,-0.0274601413820214,-0.0448048847535905,-0.0631277412754954
16,0,0,0,0.0735755700579281,-0.132727513900678,0.155185002006904,0.0734284515001372,-0.145047260983934,0.154398255770256,0.0791024211300908,-0.149891909494671,0.153821530919599,-0.0439614286732076,-0.0734553931188955,-0.0315853206196877,0.061559764986057,-0.165107633423911,0.150978259026988,-0.0861332100287546,-0.0956835333611082,-0.060228531211483,-0.0293569942511698,-0.0664594980683655,-0.0312502932417444,-0.199652488725538,0.0645441208349997,0.00371533833274879,-0.569280511786886,-0.0409478850433769,0.41602809419272,-0.652571538589521,-0.291441451511107,0.295152032707742,-0.0135270408913398,-0.1273722304623,-0.0491610250773333,0.0290090672676634,-0.253898284974621,-0.0487461379726868,-0.0789742092548056,-0.273954723160449,0.0279712808531566,-0.0899219357260347,-0.248950312295406,0.0130696451281585,-0.0751316548387679,0.0829180349279212,-0.048192450583974,-0.0349942985083837,-0.0115093318386061,-0.0709768636102719,-0.000982632823272496,-0.075774677812223,-0.0551130878190468,-0.000982632823272496,-0.075774677812223,-0.0551130878190468,0.105156105175075,-0.157427350916574,-0.0468019799942511,0.0215512575419888,-0.117379358294231,-0.0390323727022207,-0.0354510355194939,-0.0436686408383002,-0.0658875867188703,-0.0354510355194939,-0.0436686408383002,-0.0658875867188703
17,0,0,0,0.0615566360671319,-0.122917889491345,0.159849726231369,0.0590113564699377,-0.134573288690997,0.158914628640188,0.0617720731289646,-0.139615768659153,0.158211018032504,-0.062171211070374,-0.0672751490980851,-0.0316704708229403,0.0372102428231948,-0.158121199849911,0.15449452987291,-0.1081539724032,-0.0847211812173128,-0.053863292061438,-0.0515221313296235,-0.0512219347053355,-0.0239978692418652,-0.212638329346878,0.0728653598229725,0.0115683893660363,-0.549998964651254,-0.111853828336317,0.425831212919261,-0.637678705872562,-0.37203885718839,0.267064494151653,-0.0344607810568704,-0.127382758870141,-0.0442069828186235,0.0195197956517199,-0.236913150213656,-0.0453336961900542,-0.0752084862790713,-0.259432982084192,0.00679782720355399,-0.0627072904128928,-0.245473651916723,0.0082688357427374,-0.0751534227424174,0.078418768282602,-0.0465855986965917,-0.0396697785834529,-0.00317794727546983,-0.0682695673849574,-0.0125036574462588,-0.0740604735108802,-0.0537419037831985,-0.0125036574462588,-0.0740604735108802,-0.0537419037831985,0.102506840519629,-0.148759890340309,-0.0393344473666833,0.0246671656890763,-0.121652517579517,-0.0326825957403873,-0.0459291968623308,-0.0416259629842511,-0.0665819227797111,-0.0459291968623308,-0.0416259629842511,-0.0665819227797111
18,0,0,0,0.0513245533420177,-0.11374160802375,0.164739502101687,0.0473479751530361,-0.124702191748096,0.163731011802618,0.0483848926788218,-0.129795380100536,0.162960014756336,-0.0775226883323936,-0.0612603385662937,-0.0328414968732106,0.0207636813937006,-0.150574351938803,0.15880374092834,-0.12326365640877,-0.0743283426574561,-0.0493579746171826,-0.0690586227569325,-0.0376401218251159,-0.0200007272292279,-0.2246695547749,0.0780565099821965,0.0185733068153952,-0.539057041069046,-0.158175217471893,0.424801246254967,-0.625486936602056,-0.422464458250477,0.250627741948653,-0.0499968590320048,-0.122689948894221,-0.0398278669500171,0.0118626523084507,-0.217978772972154,-0.0437111940963756,-0.0772435430046382,-0.24643002155898,-0.0126881784189351,-0.0456145353241361,-0.241205741353143,0.00111846223811385,-0.0745807817207031,0.074718074532234,-0.0444108681861539,-0.0391837329606044,-0.00277207023775702,-0.0646302652169158,-0.0209236251366104,-0.0721182717667308,-0.0526904374876942,-0.0209236251366104,-0.0721182717667308,-0.0526904374876942,0.100574098810569,-0.139875452977384,-0.0340584022646031,0.0264720482610477,-0.117548830988064,-0.0280322624646323,-0.0525253096176675,-0.0376359307847025,-0.0655752728295998,-0.0525253096176675,-0.0376359307847025,-0.0655752728295998
19,0,0,0,0.0472309540940414,-0.107459144809718,0.167811248845566,0.0441114275743557,-0.117788460095569,0.166882688811923,0.0459695925032012,-0.122579353571562,0.166170039356084,-0.0835633401929759,-0.0557372546879978,-0.0371724471189051,0.0230950236544669,-0.143012239031175,0.162436806637944,-0.122449463556935,-0.0655095678560134,-0.0510156126292291,-0.0746494773040892,-0.0305516800264073,-0.0240575626799683,-0.233433803444832,0.0745960538773527,0.021173370155457,-0.544484223738199,-0.157571001096685,0.394637063707608,-0.621444621352912,-0.419273344463969,0.251135774911112,-0.0536728063255678,-0.108272994273603,-0.0387046923875161,0.00930987603907851,-0.194280389303394,-0.0477393379317455,-0.0939111428905649,-0.239256167484022,-0.0306665620847265,-0.0474950270776528,-0.238509423074674,-0.0117543352820995,-0.0726942125299257,0.0704216696475354,-0.0428434181544411,-0.0266292384569657,-0.0186990658336562,-0.0609400052882707,-0.0208283407983539,-0.0707007622069507,-0.0538906349922532,-0.0208283407983539,-0.0707007622069507,-0.0538906349922532,0.101381183429907,-0.131900244692591,-0.0346606460260431,0.0272152654157905,-0.0982573514775193,-0.028841895842414,-0.0503646826480486,-0.0313457721437144,-0.0636742322188932,-0.0503646826480486,-0.0313457721437144,-0.0636742322188932
